population,treatment,ancestor_id,term,estimate,std.error,statistic,p.value,conf.low,conf.high
1,N,anc2,alpha,0.07480018897283389,0.01856544585899209,4.029000409737251,2.6769471357417774e-4,0.03718302250056913,0.11241735544509865
1,N,anc2,eopt,201.74949644263063,120.75104279431584,1.6707888542733782,0.10320241400206456,-42.915356370117536,446.4143492553788
1,N,anc2,ps,1.662719299145683,0.0803042803272721,20.70523877892232,6.075364482833971e-22,1.5000073715975875,1.8254312266937784
10,L,anc2,alpha,0.04590202616487406,0.00579960512680208,7.914681286273118,1.7777401759525239e-9,0.0341509099684027,0.057653142361345416
10,L,anc2,eopt,123.32969121372125,8.915788665313155,13.832729312386574,3.3804448555543247e-16,105.26458741810337,141.39479500933913
10,L,anc2,ps,1.8019795531857974,0.04855699601993808,37.110606110103745,7.041438762905163e-31,1.7035937338228644,1.9003653725487304
11,N,anc4,alpha,0.08415191286771927,0.01966231529059118,4.279857769750426,1.2690880727082393e-4,0.044312277820221416,0.12399154791521712
11,N,anc4,eopt,109.97332351076183,18.642388872381293,5.899100392315459,8.600407467769677e-7,72.20025568468512,147.74639133683854
11,N,anc4,ps,1.7945717789565696,0.0827809857162511,21.678550495977838,1.2595476963967018e-22,1.6268415696161813,1.962301988296958
14,S,anc2,alpha,0.10614849542079266,0.017086512306391743,6.212414418891355,3.239502877056059e-7,0.0715279329661276,0.14076905787545774
14,S,anc2,eopt,102.93046463870452,13.662493198919579,7.533798051357434,5.577899858345301e-9,75.24762389286721,130.61330538454183
14,S,anc2,ps,1.627191361580745,0.04970633481503115,32.73609626692257,6.381342662227912e-29,1.5264767606137275,1.7279059625477624
15,S,anc4,alpha,0.09824984542788157,0.013386436325612632,7.339507172636938,1.0050489954333757e-8,0.07112634903810618,0.12537334181765697
15,S,anc4,eopt,96.7984703041816,9.541897816727829,10.144572092826747,3.0979517639654696e-12,77.46474886493377,116.13219174342944
15,S,anc4,ps,1.559602189292484,0.04186165462091714,37.256104743485054,6.1147757049807415e-31,1.474782420209654,1.6444219583753141
16,B,anc5,alpha,0.08571439993112877,0.01119880356779524,7.653889043792181,3.883297784400898e-9,0.06302346854711856,0.10840533131513898
16,B,anc5,eopt,106.07230688339189,9.464922103091407,11.206886409423998,1.8794556865389328e-13,86.89455305495045,125.25006071183333
16,B,anc5,ps,1.824560807720405,0.04793039976736861,38.0668806556164,2.811949342893795e-31,1.7274445929617905,1.9216770224790194
17,P,anc2,alpha,0.06659610178669839,0.006979801029945915,9.54126077533967,1.6242567458455244e-11,0.052453681546379166,0.08073852202701762
17,P,anc2,eopt,96.59826632790177,5.1080635820122,18.91093655687214,1.310646492290168e-20,86.24834639735518,106.94818625844836
17,P,anc2,ps,1.8216735062495324,0.042643600019085445,42.7185675091744,4.331928022357811e-33,1.7352693652944335,1.9080776472046312
18,S,anc5,alpha,0.06562926936647269,0.010397789233099029,6.311848403077516,2.377661818785823e-7,0.044561347190202216,0.08669719154274316
18,S,anc5,eopt,117.66053017600993,13.01093999888918,9.04319981385321,6.607896316616494e-11,91.2978616133367,144.02319873868313
18,S,anc5,ps,1.7364335602355254,0.05499480733432377,31.57450029198974,2.3222209928810167e-28,1.6250034961089805,1.8478636243620703
19,B,anc2,alpha,0.07488769507929699,0.014978789191180281,4.999582684786826,1.4124257392011358e-5,0.04453778531482562,0.10523760484376836
19,B,anc2,eopt,115.54287079911111,16.905126657436657,6.8347829117437096,4.7107527755645635e-8,81.2898305792605,149.79591101896173
19,B,anc2,ps,1.778461735610273,0.07008662170461727,25.37519561301824,5.322106881715517e-25,1.6364527509532052,1.9204707202673408
2,BS,anc3,alpha,0.06747712369566239,0.011598950661325944,5.817519676210837,1.1092733085238146e-6,0.043975417286637265,0.09097883010468752
2,BS,anc3,eopt,107.12772754664051,11.121780647396065,9.63224603532549,1.2613081927449015e-11,84.5928594234236,129.6625956698574
2,BS,anc3,ps,1.753165813501614,0.06309775278675539,27.784916832562924,2.1837698909582658e-26,1.6253176223710162,1.8810140046322117
20,L,anc4,alpha,0.056744041007983775,0.006733816546226462,8.426728084800937,3.9175554857129554e-10,0.04310003267459901,0.07038804934136854
20,L,anc4,eopt,129.6369929469891,10.935636451458588,11.854544865534388,3.655641671949355e-14,107.47928879061732,151.79469710336087
20,L,anc4,ps,1.8616921552616046,0.04390476517801639,42.40296349868134,5.6691052170180385e-33,1.7727326509668448,1.9506516595563643
21,B,anc4,alpha,0.12509841566264143,0.030160466920127433,4.147761239702747,1.883017206593891e-4,0.06398750490764046,0.1862093264176424
21,B,anc4,eopt,159.88361810765844,82.53573381468476,1.9371442006760462,0.06039086940812421,-7.349663678232588,327.11689989354943
21,B,anc4,ps,1.73393441516758,0.06820025263567034,25.424164107285012,4.974408634162347e-25,1.5957475773005037,1.8721212530346563
22,C,cc1690,alpha,0.04948767330628846,0.011118318857116886,4.451003244488818,7.576951269118321e-5,0.02695981943644381,0.07201552717613312
22,C,cc1690,eopt,123.85206102555787,16.253577355025804,7.619987792242014,4.300654686086515e-9,90.91918509154398,156.78493695957178
22,C,cc1690,ps,1.9049679452720938,0.0906290639148412,21.019393371006018,3.6313756028625167e-22,1.721336019036459,2.0885998715077285
23,L,anc5,alpha,0.09697145538543536,0.009061275952980457,10.7017439804975,6.995445778427775e-13,0.07861156634407945,0.11533134442679127
23,L,anc5,eopt,110.5830237198656,8.656190873715055,12.775021407586602,3.902881504277422e-15,93.04391501300279,128.1221324267284
23,L,anc5,ps,1.7278421421636512,0.030549676599093377,56.55844298577381,1.5638746947950491e-37,1.6659426176905914,1.789741666636711
24,C,anc4,alpha,0.06103509878967077,0.012902751351327638,4.730394094077503,3.234507709651469e-5,0.03489164124927206,0.08717855633006948
24,C,anc4,eopt,115.58209367643207,14.708722133226736,7.858064937900636,2.1050956477600164e-9,85.77939174929861,145.38479560356552
24,C,anc4,ps,1.90464711860489,0.08443879114513855,22.556541759711674,3.2061910097634415e-23,1.7335578763993214,2.075736360810459
25,BS,anc2,alpha,0.1305982626374657,0.039242726686151044,3.32796096667652,0.001987206504838936,0.051084945597275194,0.21011157967765623
25,BS,anc2,eopt,155.36072097345723,96.69826536312556,1.6066546839288156,0.11663202629349606,-40.56857549329649,351.29001744021093
25,BS,anc2,ps,1.7512226610517123,0.08514792433206549,20.566827374701216,7.637569102948622e-22,1.5786965785275084,1.9237487435759162
26,L,anc3,alpha,0.051402116529604774,0.012761576495332825,4.027881394465926,2.6857974772383767e-4,0.025544706418391974,0.07725952664081757
26,L,anc3,eopt,142.79386624291013,27.641959209852647,5.165837383625577,8.441198497414927e-6,86.78593682854864,198.8017956572716
