CAP1,CAP2,Strain,Treatment
-0.44937269298997895,-0.4738892658398604,anc2,N
-0.29918860484390625,-0.27285039074888523,anc2,L
0.09084445472833702,-0.060420518190625695,anc4,N
0.8356462873921119,-0.64306230078168225,anc2,S
0.6586018427848515,0.2845191357556584,anc4,S
-0.03544633756169406,0.05978778236748429,anc5,B
0.27793879719602393,2.1980192842195967,anc2,P
1.0034634346554838,-0.5417717686458086,anc5,S
-0.4197011903044291,-0.7576976474379348,anc2,B
0.8762259161817189,-0.08303828993301551,anc3,BS
-0.26866166454763135,-0.496632268555109,anc4,L
0.2723535468059743,0.6448432646699402,anc4,B
-0.2804314160556646,-0.19914048235687815,cc1690,control
0.12698239556589289,0.2337341950779289,anc5,L
-0.4293750966649807,-0.6085732597556431,anc4,control
0.29155328625077664,-0.043293082698282796,anc2,BS
-0.08682611282961053,0.07057520447385053,anc3,L
-0.2676058174825277,0.2854116935097501,anc3,N
0.10930976344215113,0.5270636885403306,anc5,P
-0.03307680574480938,0.4804861112842524,anc3,P
-0.00568087404606108,0.05921172876157031,cc1690,N
-0.0866208954318619,0.46242279461350067,anc5,N
-0.15774098164408187,-0.28784973234665157,cc1690,B
0.7636645982968722,-0.05694178512632904,cc1690,S
-0.06027960776704578,-0.051729218752472744,cc1690,L
0.2054920286652502,-0.05338007216171763,anc4,BS
0.43073323041400324,-0.5549497600412007,anc3,S
-0.8237127064615027,-0.4983448135599024,anc5,control
0.05961678656722415,0.47585212229932744,cc1690,P
-0.3843245129174383,-0.19771589842682494,anc3,B
-0.0780141427974842,0.4219359526406568,anc4,P
-0.02875629753032335,-0.03902277991669269,cc1690,BS
-0.23687588270059845,-0.007226596712951798,anc2,Ancestors
-0.5351258976213357,-7.690608668113139e-4,anc3,Ancestors
-0.451240968974317,-0.13229223440316018,anc4,Ancestors
-0.29397565420846933,-0.2428918783935336,anc5,Ancestors
-0.29039220782092057,0.09962014743812628,cc1690,Ancestors
