date,week,doe,month,vial,level_1,level_2,treatment,id,RFU,abs_390_nm,abs_410_nm,abs_490_nm,abs_540_nm,abs_600_nm,abs_630_nm,abs_670_nm,ancestor_id,pred,cell_count
2015-04-01,0,31,1,7,0,NA,B,3,40543,0.358,0.363,0.347,0.288,0.258,0.276,0.305,anc3,1070019.6761321002,28890531.255566705
2015-04-01,0,31,1,16,0,NA,B,5,42482,0.454,0.447,0.416,0.357,0.354,0.344,0.371,anc5,1121186.2776320977,30272029.496066637
2015-04-01,0,31,1,19,0,NA,B,2,40091,0.481,0.48,0.444,0.387,0.378,0.377,0.408,anc2,1058092.237308996,28568490.407342892
2015-04-01,0,31,1,21,0,NA,B,4,34196,0.51,0.499,0.459,0.4,0.384,0.38,0.407,anc4,902534.1579678484,24368422.265131906
2015-04-01,0,31,1,31,0,NA,B,pop,37976,0.486,0.478,0.429,0.356,0.375,0.328,0.368,cc1690,1002281.3233469048,27061595.73036643
2015-04-09,1,39,2,7,0.01,NA,B,3,50171,0.69,0.623,0.547,0.459,0.491,0.438,0.488,anc3,1324084.6783198135,35750286.314634964
2015-04-09,1,39,2,16,0.01,NA,B,5,40318,0.72,0.588,0.51,0.426,0.521,0.409,0.451,anc5,1064082.3448595374,28730223.31120751
2015-04-09,1,39,2,19,0.01,NA,B,2,42058,0.564,0.564,0.517,0.447,0.485,0.428,0.462,anc2,1109997.7067006903,29969938.08091864
2015-04-09,1,39,2,21,0.01,NA,B,4,35904,0.587,0.579,0.522,0.447,0.485,0.422,0.457,anc4,947605.099361348,25585337.682756394
2015-04-09,1,39,2,31,0.01,NA,B,pop,42576,0.621,0.588,0.506,0.403,0.462,0.378,0.435,cc1690,1123666.7626970795,30339002.592821144
2015-04-17,2,47,2,7,0.01,NA,B,3,44605,0.451,0.478,0.433,0.328,0.32,0.31,0.357,anc3,1177208.2967061023,31784624.011064764
2015-04-17,2,47,2,16,0.01,NA,B,5,46992,0.412,0.433,0.401,0.306,0.302,0.301,0.352,anc5,1240196.7844732471,33485313.180777673
2015-04-17,2,47,2,19,0.01,NA,B,2,43940,0.453,0.493,0.439,0.33,0.288,0.309,0.362,anc2,1159660.1842783052,31310824.97551424
2015-04-17,2,47,2,21,0.01,NA,B,4,42969,0.47,0.512,0.455,0.33,0.271,0.308,0.35,anc4,1134037.3013198227,30619007.135635212
2015-04-17,2,47,2,31,0.01,NA,B,pop,45567,0.503,0.491,0.443,0.31,0.354,0.312,0.369,cc1690,1202593.6864136823,32470029.533169422
2015-04-23,3,53,2,7,0.01,NA,B,3,49768,0.533,0.56,0.5,0.392,0.379,0.363,0.402,anc3,1313450.2583071785,35463156.97429382
2015-04-23,3,53,2,16,0.01,NA,B,5,52033,0.567,0.585,0.5,0.41,0.435,0.388,0.428,anc5,1373219.393117645,37076923.614176415
2015-04-23,3,53,2,19,0.01,NA,B,2,46835,0.595,0.575,0.496,0.394,0.395,0.368,0.407,anc2,1236053.8466519478,33373453.859602593
2015-04-23,3,53,2,21,0.01,NA,B,4,48335,0.556,0.564,0.489,0.386,0.369,0.362,0.408,anc4,1275636.0551357004,34442173.48866391
2015-04-23,3,53,2,31,0.01,NA,B,pop,49293,0.551,0.554,0.47,0.369,0.245,0.335,0.379,cc1690,1300915.8922873237,35124729.09175774
2015-04-29,4,59,2,7,0.01,NA,B,3,58521,0.46,0.505,0.445,0.319,0.313,0.302,0.358,anc3,1544425.6388793695,41699492.24974298
2015-04-29,4,59,2,16,0.01,NA,B,5,62567,0.49,0.501,0.436,0.323,0.337,0.304,0.365,anc5,1651192.0492295448,44582185.32919771
2015-04-29,4,59,2,19,0.01,NA,B,2,58321,0.531,0.478,0.426,0.323,0.366,0.311,0.366,anc2,1539148.0110815358,41556996.299201466
2015-04-29,4,59,2,21,0.01,NA,B,4,57104,0.569,0.522,0.459,0.35,0.396,0.332,0.389,anc4,1507033.645931718,40689908.440156385
2015-04-29,4,59,2,31,0.01,NA,B,pop,57523,0.559,0.495,0.442,0.34,0.415,0.317,0.382,cc1690,1518090.2761681795,40988437.456540845
