plate_key,population,acclimation_level,well,n_level,plate,multitron,slot
1,25,LL,B02,N1,1,5,15
1,25,LL,B02,N2,4,5,19
1,25,LL,B02,N3,7,5,8
1,25,LL,B02,N4,10,5,18
1,25,LL,B02,N5,13,6,9
1,25,HL,B02,N6,16,5,3
1,25,HL,B02,N7,19,4,8
1,25,HL,B02,N8,22,6,17
1,25,HL,B02,N9,25,4,15
1,25,HL,B02,N10,28,6,3
1,19,LL,B03,N1,1,5,15
1,19,LL,B03,N2,4,5,19
1,19,LL,B03,N3,7,5,8
1,19,LL,B03,N4,10,5,18
1,19,LL,B03,N5,13,6,9
1,19,HL,B03,N6,16,5,3
1,19,HL,B03,N7,19,4,8
1,19,HL,B03,N8,22,6,17
1,19,HL,B03,N9,25,4,15
1,19,HL,B03,N10,28,6,3
1,14,LL,B04,N1,1,5,15
1,14,LL,B04,N2,4,5,19
1,14,LL,B04,N3,7,5,8
1,14,LL,B04,N4,10,5,18
1,14,LL,B04,N5,13,6,9
1,14,HL,B04,N6,16,5,3
1,14,HL,B04,N7,19,4,8
1,14,HL,B04,N8,22,6,17
1,14,HL,B04,N9,25,4,15
1,14,HL,B04,N10,28,6,3
1,8,LL,B05,N1,1,5,15
1,8,LL,B05,N2,4,5,19
1,8,LL,B05,N3,7,5,8
1,8,LL,B05,N4,10,5,18
1,8,LL,B05,N5,13,6,9
1,8,HL,B05,N6,16,5,3
1,8,HL,B05,N7,19,4,8
1,8,HL,B05,N8,22,6,17
1,8,HL,B05,N9,25,4,15
1,8,HL,B05,N10,28,6,3
1,23,LL,B06,N1,1,5,15
1,23,LL,B06,N2,4,5,19
1,23,LL,B06,N3,7,5,8
1,23,LL,B06,N4,10,5,18
1,23,LL,B06,N5,13,6,9
1,23,HL,B06,N6,16,5,3
1,23,HL,B06,N7,19,4,8
1,23,HL,B06,N8,22,6,17
1,23,HL,B06,N9,25,4,15
1,23,HL,B06,N10,28,6,3
1,11,LL,B07,N1,1,5,15
1,11,LL,B07,N2,4,5,19
1,11,LL,B07,N3,7,5,8
1,11,LL,B07,N4,10,5,18
1,11,LL,B07,N5,13,6,9
1,11,HL,B07,N6,16,5,3
1,11,HL,B07,N7,19,4,8
1,11,HL,B07,N8,22,6,17
1,11,HL,B07,N9,25,4,15
1,11,HL,B07,N10,28,6,3
1,anc5,LL,B08,N1,1,5,15
1,anc5,LL,B08,N2,4,5,19
1,anc5,LL,B08,N3,7,5,8
1,anc5,LL,B08,N4,10,5,18
1,anc5,LL,B08,N5,13,6,9
1,anc5,HL,B08,N6,16,5,3
1,anc5,HL,B08,N7,19,4,8
1,anc5,HL,B08,N8,22,6,17
1,anc5,HL,B08,N9,25,4,15
1,anc5,HL,B08,N10,28,6,3
1,1,LL,B09,N1,1,5,15
1,1,LL,B09,N2,4,5,19
1,1,LL,B09,N3,7,5,8
1,1,LL,B09,N4,10,5,18
1,1,LL,B09,N5,13,6,9
1,1,HL,B09,N6,16,5,3
1,1,HL,B09,N7,19,4,8
1,1,HL,B09,N8,22,6,17
1,1,HL,B09,N9,25,4,15
1,1,HL,B09,N10,28,6,3
1,cc1629,LL,B10,N1,1,5,15
1,cc1629,LL,B10,N2,4,5,19
1,cc1629,LL,B10,N3,7,5,8
1,cc1629,LL,B10,N4,10,5,18
1,cc1629,LL,B10,N5,13,6,9
1,cc1629,HL,B10,N6,16,5,3
1,cc1629,HL,B10,N7,19,4,8
1,cc1629,HL,B10,N8,22,6,17
1,cc1629,HL,B10,N9,25,4,15
1,cc1629,HL,B10,N10,28,6,3
1,24,LL,B11,N1,1,5,15
1,24,LL,B11,N2,4,5,19
1,24,LL,B11,N3,7,5,8
1,24,LL,B11,N4,10,5,18
1,24,LL,B11,N5,13,6,9
1,24,HL,B11,N6,16,5,3
1,24,HL,B11,N7,19,4,8
1,24,HL,B11,N8,22,6,17
1,24,HL,B11,N9,25,4,15
1,24,HL,B11,N10,28,6,3
1,6,LL,C02,N1,1,5,15
1,6,LL,C02,N2,4,5,19
1,6,LL,C02,N3,7,5,8
1,6,LL,C02,N4,10,5,18
1,6,LL,C02,N5,13,6,9
1,6,HL,C02,N6,16,5,3
1,6,HL,C02,N7,19,4,8
1,6,HL,C02,N8,22,6,17
1,6,HL,C02,N9,25,4,15
1,6,HL,C02,N10,28,6,3
1,33,LL,C03,N1,1,5,15
1,33,LL,C03,N2,4,5,19
1,33,LL,C03,N3,7,5,8
1,33,LL,C03,N4,10,5,18
1,33,LL,C03,N5,13,6,9
1,33,HL,C03,N6,16,5,3
1,33,HL,C03,N7,19,4,8
1,33,HL,C03,N8,22,6,17
1,33,HL,C03,N9,25,4,15
1,33,HL,C03,N10,28,6,3
1,32,LL,C04,N1,1,5,15
1,32,LL,C04,N2,4,5,19
1,32,LL,C04,N3,7,5,8
1,32,LL,C04,N4,10,5,18
1,32,LL,C04,N5,13,6,9
1,32,HL,C04,N6,16,5,3
1,32,HL,C04,N7,19,4,8
1,32,HL,C04,N8,22,6,17
1,32,HL,C04,N9,25,4,15
1,32,HL,C04,N10,28,6,3
1,25,LL,C05,N1,1,5,15
1,25,LL,C05,N2,4,5,19
1,25,LL,C05,N3,7,5,8
1,25,LL,C05,N4,10,5,18
1,25,LL,C05,N5,13,6,9
1,25,HL,C05,N6,16,5,3
1,25,HL,C05,N7,19,4,8
1,25,HL,C05,N8,22,6,17
1,25,HL,C05,N9,25,4,15
1,25,HL,C05,N10,28,6,3
1,1,LL,C06,N1,1,5,15
1,1,LL,C06,N2,4,5,19
1,1,LL,C06,N3,7,5,8
1,1,LL,C06,N4,10,5,18
1,1,LL,C06,N5,13,6,9
1,1,HL,C06,N6,16,5,3
1,1,HL,C06,N7,19,4,8
1,1,HL,C06,N8,22,6,17
1,1,HL,C06,N9,25,4,15
1,1,HL,C06,N10,28,6,3
1,11,LL,C07,N1,1,5,15
1,11,LL,C07,N2,4,5,19
1,11,LL,C07,N3,7,5,8
1,11,LL,C07,N4,10,5,18
1,11,LL,C07,N5,13,6,9
1,11,HL,C07,N6,16,5,3
1,11,HL,C07,N7,19,4,8
1,11,HL,C07,N8,22,6,17
1,11,HL,C07,N9,25,4,15
1,11,HL,C07,N10,28,6,3
1,cc1629,LL,C08,N1,1,5,15
1,cc1629,LL,C08,N2,4,5,19
1,cc1629,LL,C08,N3,7,5,8
1,cc1629,LL,C08,N4,10,5,18
1,cc1629,LL,C08,N5,13,6,9
1,cc1629,HL,C08,N6,16,5,3
1,cc1629,HL,C08,N7,19,4,8
1,cc1629,HL,C08,N8,22,6,17
1,cc1629,HL,C08,N9,25,4,15
1,cc1629,HL,C08,N10,28,6,3
1,6,LL,C09,N1,1,5,15
1,6,LL,C09,N2,4,5,19
1,6,LL,C09,N3,7,5,8
1,6,LL,C09,N4,10,5,18
1,6,LL,C09,N5,13,6,9
1,6,HL,C09,N6,16,5,3
1,6,HL,C09,N7,19,4,8
1,6,HL,C09,N8,22,6,17
1,6,HL,C09,N9,25,4,15
1,6,HL,C09,N10,28,6,3
1,23,LL,C10,N1,1,5,15
1,23,LL,C10,N2,4,5,19
1,23,LL,C10,N3,7,5,8
1,23,LL,C10,N4,10,5,18
1,23,LL,C10,N5,13,6,9
1,23,HL,C10,N6,16,5,3
1,23,HL,C10,N7,19,4,8
1,23,HL,C10,N8,22,6,17
1,23,HL,C10,N9,25,4,15
1,23,HL,C10,N10,28,6,3
1,anc5,LL,C11,N1,1,5,15
1,anc5,LL,C11,N2,4,5,19
1,anc5,LL,C11,N3,7,5,8
1,anc5,LL,C11,N4,10,5,18
1,anc5,LL,C11,N5,13,6,9
1,anc5,HL,C11,N6,16,5,3
1,anc5,HL,C11,N7,19,4,8
1,anc5,HL,C11,N8,22,6,17
1,anc5,HL,C11,N9,25,4,15
1,anc5,HL,C11,N10,28,6,3
1,24,LL,D02,N1,1,5,15
1,24,LL,D02,N2,4,5,19
1,24,LL,D02,N3,7,5,8
1,24,LL,D02,N4,10,5,18
1,24,LL,D02,N5,13,6,9
1,24,HL,D02,N6,16,5,3
1,24,HL,D02,N7,19,4,8
1,24,HL,D02,N8,22,6,17
1,24,HL,D02,N9,25,4,15
1,24,HL,D02,N10,28,6,3
1,8,LL,D03,N1,1,5,15
1,8,LL,D03,N2,4,5,19
1,8,LL,D03,N3,7,5,8
1,8,LL,D03,N4,10,5,18
1,8,LL,D03,N5,13,6,9
1,8,HL,D03,N6,16,5,3
1,8,HL,D03,N7,19,4,8
1,8,HL,D03,N8,22,6,17
1,8,HL,D03,N9,25,4,15
1,8,HL,D03,N10,28,6,3
1,19,LL,D04,N1,1,5,15
1,19,LL,D04,N2,4,5,19
1,19,LL,D04,N3,7,5,8
1,19,LL,D04,N4,10,5,18
1,19,LL,D04,N5,13,6,9
1,19,HL,D04,N6,16,5,3
1,19,HL,D04,N7,19,4,8
1,19,HL,D04,N8,22,6,17
1,19,HL,D04,N9,25,4,15
1,19,HL,D04,N10,28,6,3
1,33,LL,D05,N1,1,5,15
1,33,LL,D05,N2,4,5,19
1,33,LL,D05,N3,7,5,8
1,33,LL,D05,N4,10,5,18
1,33,LL,D05,N5,13,6,9
1,33,HL,D05,N6,16,5,3
1,33,HL,D05,N7,19,4,8
1,33,HL,D05,N8,22,6,17
1,33,HL,D05,N9,25,4,15
1,33,HL,D05,N10,28,6,3
1,14,LL,D06,N1,1,5,15
1,14,LL,D06,N2,4,5,19
1,14,LL,D06,N3,7,5,8
1,14,LL,D06,N4,10,5,18
1,14,LL,D06,N5,13,6,9
1,14,HL,D06,N6,16,5,3
1,14,HL,D06,N7,19,4,8
1,14,HL,D06,N8,22,6,17
1,14,HL,D06,N9,25,4,15
1,14,HL,D06,N10,28,6,3
1,32,LL,D07,N1,1,5,15
1,32,LL,D07,N2,4,5,19
1,32,LL,D07,N3,7,5,8
1,32,LL,D07,N4,10,5,18
1,32,LL,D07,N5,13,6,9
1,32,HL,D07,N6,16,5,3
1,32,HL,D07,N7,19,4,8
1,32,HL,D07,N8,22,6,17
1,32,HL,D07,N9,25,4,15
1,32,HL,D07,N10,28,6,3
1,32,LL,D08,N1,1,5,15
1,32,LL,D08,N2,4,5,19
1,32,LL,D08,N3,7,5,8
1,32,LL,D08,N4,10,5,18
1,32,LL,D08,N5,13,6,9
1,32,HL,D08,N6,16,5,3
1,32,HL,D08,N7,19,4,8
1,32,HL,D08,N8,22,6,17
1,32,HL,D08,N9,25,4,15
1,32,HL,D08,N10,28,6,3
1,14,LL,D09,N1,1,5,15
1,14,LL,D09,N2,4,5,19
1,14,LL,D09,N3,7,5,8
1,14,LL,D09,N4,10,5,18
1,14,LL,D09,N5,13,6,9
1,14,HL,D09,N6,16,5,3
1,14,HL,D09,N7,19,4,8
1,14,HL,D09,N8,22,6,17
1,14,HL,D09,N9,25,4,15
1,14,HL,D09,N10,28,6,3
1,19,LL,D10,N1,1,5,15
1,19,LL,D10,N2,4,5,19
1,19,LL,D10,N3,7,5,8
1,19,LL,D10,N4,10,5,18
1,19,LL,D10,N5,13,6,9
1,19,HL,D10,N6,16,5,3
1,19,HL,D10,N7,19,4,8
1,19,HL,D10,N8,22,6,17
1,19,HL,D10,N9,25,4,15
1,19,HL,D10,N10,28,6,3
1,11,LL,D11,N1,1,5,15
1,11,LL,D11,N2,4,5,19
1,11,LL,D11,N3,7,5,8
1,11,LL,D11,N4,10,5,18
1,11,LL,D11,N5,13,6,9
