population,mean_consumption,filter_number,biomass_mg,volume_filtered_47mm,biomass_l,biomass_400ml,k,ancestor_id,treatment,note
1,0.04382575955908141,36,2.4450000000000074,200,12.225000000000037,4.890000000000015,0.00896232301821703,anc2,N,NA
10,0.03668460464879549,11,1.345000000000013,200,6.725000000000065,2.690000000000026,0.013637399497693358,anc2,L,NA
11,0.029699098074219332,10,1.1550000000000011,200,5.775000000000006,2.3100000000000023,0.01285675241308195,anc4,N,NA
14,0.05524745418312197,26,2.6299999999999955,200,13.149999999999977,5.259999999999991,0.01050331828576465,anc2,S,NA
15,0.04108547822272435,25,2.125,200,10.625,4.25,0.009667171346523376,anc4,S,NA
16,0.007842893848629018,30,1.0549999999999784,200,5.274999999999892,2.109999999999957,0.003717011302667857,anc5,B,NA
17,0.024165986451954186,24,0.6599999999999966,200,3.299999999999983,1.3199999999999932,0.01830756549390478,anc2,P,NA
18,0.017330047702601714,28,2.239999999999995,200,11.199999999999974,4.47999999999999,0.0038683142193307487,anc5,S,NA
19,0.007543326259531469,23,0.9650000000000034,200,4.825000000000017,1.9300000000000068,0.0039084592018297625,anc2,B,NA
2,0.031070462047443865,35,0.7349999999999994,200,3.674999999999997,1.4699999999999989,0.021136368739757747,anc3,BS,NA
20,0.010389685885244285,22,1.8599999999999994,200,9.299999999999997,3.719999999999999,0.002792926313237712,anc4,L,NA
21,0.04947519599205948,3,3.075000000000017,200,15.375000000000085,6.150000000000034,0.008044747315781985,anc4,B,NA
22,0.02553773630804009,2,1.8200000000000074,200,9.100000000000037,3.640000000000015,0.007015861623087908,cc1690,C,NA
23,0.04946302032147898,1,2.0400000000000063,200,10.200000000000031,4.0800000000000125,0.012123289294480104,anc5,L,NA
24,0.028469422626635026,6,1,200,5,2,0.014234711313317513,anc4,C,NA
25,0.027014652837148507,5,1.3100000000000023,200,6.550000000000011,2.6200000000000045,0.010310936197384908,anc2,BS,NA
26,0.018609540014277986,4,1.6599999999999966,200,8.299999999999983,3.319999999999993,0.00560528313683073,anc3,L,NA
27,0.03006286747605474,9,1.2999999999999972,200,6.499999999999986,2.5999999999999943,0.011562641336944157,anc3,N,NA
28,0.02277127817353482,8,1.3850000000000051,200,6.925000000000026,2.7700000000000102,0.00822067804098727,anc5,P,NA
29,0.022725165975613287,7,1.9549999999999983,200,9.774999999999991,3.9099999999999966,0.005812062909364017,anc3,P,NA
3,0.03670854498947692,33,0.5600000000000023,50,11.200000000000045,4.480000000000018,0.008193871649436779,cc1690,N,NA
30,0.02688633721218577,21,2.105000000000004,200,10.52500000000002,4.210000000000008,0.006386303375816085,anc5,N,NA
31,0.019935363535913186,20,0.8650000000000091,200,4.3250000000000455,1.7300000000000184,0.011523331523649118,cc1690,B,NA
32,0.02831635996614068,19,2.6850000000000023,200,13.425000000000011,5.3700000000000045,0.0052730651706034744,cc1690,S,NA
33,0.02277127817353482,18,1.5300000000000011,200,7.650000000000006,3.0600000000000023,0.007441594174357779,cc1690,L,NA
35,0.053779665184415716,17,3.0349999999999966,200,15.174999999999983,6.069999999999993,0.00885991189199601,anc4,BS,NA
4,0.03546728525441326,15,1.6449999999999818,200,8.224999999999909,3.2899999999999636,0.01078032986456342,anc3,S,NA
5,0.006160192457082214,14,0.9700000000000131,200,4.850000000000065,1.9400000000000261,0.003175356936640274,anc5,C,NA
6,0.02690948616412599,32,1.4849999999999994,200,7.424999999999997,2.969999999999999,0.009060433051894277,cc1690,P,NA
7,0.03672031481870164,31,2.3299999999999983,200,11.649999999999991,4.659999999999997,0.007879895883841559,anc3,B,NA
8,0.019912405113579723,13,1.3899999999999864,200,6.949999999999932,2.7799999999999727,0.0071627356523668775,anc4,P,NA
9,0.015808730021292128,12,1.0750000000000028,200,5.375000000000014,2.1500000000000057,0.0073528976843219,cc1690,BS,NA
anc2,0.036851421619119584,16,1.4449999999999932,200,7.224999999999966,2.8899999999999864,0.012751356961633134,anc2,none,NA
anc3,0.029687723939365213,40,1.6000000000000085,200,8.000000000000043,3.2000000000000166,0.00927741373105158,anc3,none,NA
anc4,0.01583207432648696,39,1.4950000000000045,200,7.475000000000023,2.990000000000009,0.0052950081359488,anc4,none,NA
anc5,0.05669046464030769,38,2.115000000000009,200,10.575000000000045,4.230000000000018,0.013402001096999397,anc5,none,NA
cc1690,0.01034451264559492,37,1.0700000000000074,200,5.350000000000037,2.140000000000015,0.0048338844138293684,cc1690,none,NA
