nitrate_concentration,population,well_plate,term,estimate,std.error,statistic,p.value,ancestor_id,treatment,note
10,1,B09_4,r,0.680035166818721,0.056036759829050105,12.135519057370317,2.64551089863188e-4,anc2,N,NA
10,1,C06_4,r,0.8051700155367156,0.0418276509528675,19.24970676560351,4.2922145648679315e-5,anc2,N,NA
10,1,E02_4,r,0.7544886910851845,0.022844166658990587,33.02763030702399,5.011780201328481e-6,anc2,N,NA
10,1,F11_4,r,0.6469978819080295,0.045171537177599856,14.323131828882497,1.380436907536838e-4,anc2,N,NA
10,10,C02_6,r,0.7855443284881888,0.04270722111087081,18.39371207152212,5.1400125296441566e-5,anc2,L,NA
10,10,D05_6,r,1.325888325655136,0.015342573566680564,86.41889966456246,1.0748026748879508e-7,anc2,L,NA
10,10,D11_6,r,0.818619924019149,0.047927975483578016,17.080210790452433,6.891575469672827e-5,anc2,L,NA
10,10,F08_6,r,1.0639862330019492,0.03272976070024969,32.50821913262055,5.338801446291065e-6,anc2,L,NA
10,11,B07_4,r,1.0534731827588522,0.04316283845078829,24.406948675536245,1.672062608495747e-5,anc4,N,NA
10,11,C07_4,r,0.7803391079944436,0.07252071685884319,10.760223309889813,4.2292619736152806e-4,anc4,N,NA
10,11,D11_4,r,0.9447187001943623,0.039288523338401334,24.045665754787397,1.774242870745881e-5,anc4,N,NA
10,11,G02_4,r,1.0620433804336633,0.04907677029763005,21.640449727902123,2.697297420096602e-5,anc4,N,NA
10,14,B04_4,r,0.7170334420952961,0.05714127157159052,12.54843342428856,2.3207386455702367e-4,anc2,S,NA
10,14,D06_4,r,0.8133562146159148,0.04664932029033085,17.4355426735875,6.352502579309712e-5,anc2,S,NA
10,14,D09_4,r,0.8883552557096385,0.03704506229321597,23.98039578603495,1.7935264683259512e-5,anc2,S,NA
10,14,F08_4,r,0.6490302859769372,0.08617973059845614,7.53112456339663,0.0016646156219826444,anc2,S,NA
10,15,B02_6,r,0.38214886843925616,0.07685919445759769,4.972064450273197,0.0076402713713411095,anc4,S,NA
10,15,C11_6,r,0.6037443412865414,0.04524865140087754,13.342814041853025,1.824194593367159e-4,anc4,S,NA
10,15,E07_6,r,0.9573800908320633,0.012782725523718804,74.8963974119299,1.9045464511228671e-7,anc4,S,NA
10,15,F02_6,r,0.8360527856118195,0.048820989455111916,17.124863607701393,6.820778649551206e-5,anc4,S,NA
10,16,B05_6,r,0.7293095052584326,0.06059594407931912,12.035615854153178,2.7324382559993336e-4,anc5,B,NA
10,16,C08_6,r,0.8878037182497244,0.04410331157055209,20.130091973467895,3.594651598009646e-5,anc5,B,NA
10,16,E04_6,r,1.2107674885248616,0.015293043747444026,79.17112567779196,1.525535083429138e-7,anc5,B,NA
10,16,E11_6,r,0.8809005237066913,0.04549306112147993,19.363404044287684,4.193161824789094e-5,anc5,B,NA
10,17,B08_5,r,1.173417428383096,0.038311910060341424,30.62800644851584,6.770117333268874e-6,anc2,P,NA
10,17,C11_5,r,0.8827208187467531,0.03163455200608937,27.903692727396212,9.8128493973497e-6,anc2,P,NA
10,17,E07_5,r,0.9606142018157414,0.04189771658621794,22.927602745103563,2.1440201870287472e-5,anc2,P,NA
10,17,F05_5,r,1.1230718732936642,0.048339075564831115,23.233209575707118,2.0340870698166224e-5,anc2,P,NA
10,18,B11_5,r,1.0966332244805166,0.038680614290348324,28.350977475405582,9.210549781295737e-6,anc5,S,NA
10,18,D02_5,r,1.019063763389001,0.041138183444582095,24.771724905203897,1.5762412384200013e-5,anc5,S,NA
10,18,E06_5,r,0.9246416755498661,0.03860737684901434,23.949870491485427,1.802634764900617e-5,anc5,S,NA
10,18,E11_5,r,1.3711315147753997,0.008559303863488688,160.19194278453156,9.10910605008895e-9,anc5,S,NA
10,19,B03_4,r,0.9651640383683858,0.02604835950004446,37.05277633191213,3.167833091238306e-6,anc2,B,NA
10,19,D04_4,r,1.0460779690629565,0.02097803055028716,49.86540402614854,9.678106551669778e-7,anc2,B,NA
10,19,D10_4,r,0.6259181869888476,0.03725795926401626,16.79958321263611,7.358130135545655e-5,anc2,B,NA
10,19,F03_4,r,0.7271776359713915,0.053532473970804614,13.58386007655797,1.700310772939466e-4,anc2,B,NA
10,2,B10_5,r,0.8413795362316197,0.06147475690292986,13.686585821887485,1.6507090016923496e-4,anc3,BS,NA
10,2,C08_5,r,0.9131627845626612,0.014925607335113361,61.18094654777582,4.274776156772161e-7,anc3,BS,NA
10,2,E04_5,r,0.72752554289557,0.058664508456750745,12.401459792881823,2.4303295515602604e-4,anc3,BS,NA
10,2,F09_5,r,0.9562616342824609,0.05481912847828746,17.443940843773415,6.34041025857798e-5,anc3,BS,NA
10,20,B06_6,r,0.866262052969185,0.06332476864321646,13.679671817671641,1.6539904247520512e-4,anc4,L,NA
10,20,D03_6,r,0.73293443185484,0.058398332229643246,12.55060553737525,2.3191656530768088e-4,anc4,L,NA
10,20,D08_6,r,0.8889163630588875,0.03744690449752806,23.738046575186655,1.8674570813844604e-5,anc4,L,NA
10,20,E09_6,r,0.8991430660933253,0.044815502232675684,20.063215211225415,3.642423590547951e-5,anc4,L,NA
10,21,C02_5,r,1.2268024452749746,0.034711022972942054,35.34330999784397,3.824794493268646e-6,anc4,B,NA
10,21,C09_5,r,1.0661086458654956,0.021068684410215963,50.60157649656339,9.127779916051978e-7,anc4,B,NA
10,21,E09_5,r,1.001232163608809,0.01721456230895676,58.16192974525217,5.23287812454355e-7,anc4,B,NA
10,21,F04_5,r,1.2019362465258845,0.01284231643058373,93.59185728078592,7.81391216845872e-8,anc4,B,NA
10,22,B05_5,r,0.8625481202002675,0.038546659537491784,22.376728114697567,2.3615907475124742e-5,cc1690,C,NA
10,22,D03_5,r,0.721551039744712,0.05077613252109519,14.21043714672322,1.4240268850363501e-4,cc1690,C,NA
10,22,E10_5,r,1.050273323161176,0.02960622269048133,35.47474914788263,3.7685713689328714e-6,cc1690,C,NA
10,22,F06_5,r,1.128357244548077,0.03411538549512613,33.07473235819888,4.983378208577603e-6,cc1690,C,NA
10,23,B06_4,r,0.9214806423804411,0.03921658627067385,23.497217121866726,1.94473163641929e-5,anc5,L,NA
10,23,C10_4,r,1.1978255227122483,0.04510778694721046,26.55473929842891,1.1953313098605287e-5,anc5,L,NA
10,23,E05_4,r,0.9460518740012354,0.04300235440950642,22.000001790415784,2.5263989424459832e-5,anc5,L,NA
10,23,F10_4,r,1.1789420551122405,0.02253584981183023,52.314071355469935,7.991346855809127e-7,anc5,L,NA
10,24,B11_4,r,0.08214544402287775,0.055874168527442175,1.470186424027637,0.21545937292977188,anc4,C,NA
10,24,D02_4,r,0.3104702427303072,0.09678280377110797,3.207907093336246,0.03265390778700138,anc4,C,NA
10,24,E06_4,r,0.4571067790464569,0.04074045303120693,11.219972902518192,3.5935860356683995e-4,anc4,C,NA
10,24,E11_4,r,0.4632589140880273,0.035943214667182005,12.888633317236545,2.0897411332166895e-4,anc4,C,NA
10,25,B02_4,r,0.9630634501942206,0.04002842502562426,24.059488965097028,1.7701921606872396e-5,anc2,BS,NA
10,25,C05_4,r,0.7887182986404628,0.06834909093248678,11.539557993822266,3.2207627361663236e-4,anc2,BS,NA
10,25,E03_4,r,1.0513814872949332,0.027940282030790055,37.62959465249191,2.978455610537111e-6,anc2,BS,NA
10,25,F02_4,r,0.9695413816043497,0.04787371305507866,20.252061512105676,3.509521388325764e-5,anc2,BS,NA
10,26,B09_5,r,0.8783003677450908,0.049808106550788364,17.63368312042749,6.074699631856725e-5,anc3,L,NA
10,26,C06_5,r,1.0625076686040886,0.03782582365343046,28.08947872064985,9.55687544844854e-6,anc3,L,NA
10,26,E02_5,r,0.8242932729856132,0.03891780151011724,21.180365822342928,2.9375879596239163e-5,anc3,L,NA
10,26,F11_5,r,0.983708972034906,0.04267404124469463,23.051694738594833,2.0985085242151055e-5,anc3,L,NA
10,27,B07_5,r,0.6455451930969195,0.0338103120977471,19.093145050853714,4.4334383336983385e-5,anc3,N,NA
10,27,C07_5,r,0.3326401490856549,0.10243462942887895,3.247340776652189,0.03145471488888254,anc3,N,NA
10,27,D11_5,r,0.27174774252664935,0.1195970985146108,2.272193438651447,0.08552022341807768,anc3,N,NA
10,27,G02_5,r,0.30024597938028935,0.09135908566409405,3.2864380942276883,0.03031674295965792,anc3,N,NA
10,28,B02_5,r,1.2662615817294225,0.04489307979509554,28.206164235311796,9.400364102796529e-6,anc5,P,NA
10,28,C05_5,r,1.3911003256897305,0.06907134972316704,20.140048388588895,3.587606469088212e-5,anc5,P,NA
10,28,E03_5,r,1.028580592221493,0.031249178341705167,32.91544439902117,5.080245771451384e-6,anc5,P,NA
10,28,F02_5,r,1.0025650209462584,0.03816575040671813,26.268709779378053,1.2479928105186829e-5,anc5,P,NA
10,29,B10_6,r,0.8180064582350278,0.03698663708261317,22.116270165571763,2.4740444066527175e-5,anc3,P,NA
10,29,D02_6,r,1.136641631994007,0.036054794414669224,31.525394900922077,6.033947133813715e-6,anc3,P,NA
10,29,E06_6,r,1.047931367288884,0.022586117702473808,46.39714452449286,1.2907510009644613e-6,anc3,P,NA
10,29,F04_6,r,0.9240939088648817,0.06379262693597043,14.4859046139048,1.320370147545323e-4,anc3,P,NA
10,3,B03_6,r,0.9293874936303866,0.04102051695357894,22.65664995597526,2.2477558212934134e-5,cc1690,N,NA
10,3,C10_6,r,1.0818330635259013,0.031358083413648624,34.49933623988744,4.211914985077313e-6,cc1690,N,NA
10,3,D09_6,r,1.0128568889005272,0.04459599557079334,22.711834906626997,2.2261283161589468e-5,cc1690,N,NA
10,3,F09_6,r,1.5029440836734576,0.03368413328382739,44.61875480094538,1.5087891441870165e-6,cc1690,N,NA
10,30,C03_6,r,0.9278536414600304,0.06254903716543209,14.83401957101286,1.2024625528780455e-4,anc5,N,NA
10,30,C09_6,r,0.8620877604394791,0.05057783204603446,17.044774866088215,6.948412163932147e-5,anc5,N,NA
10,30,E03_6,r,1.2528180021640472,0.07477518612761211,16.75446183478534,7.436780724399404e-5,anc5,N,NA
10,30,E08_6,r,1.083204987124387,0.02620835145185167,41.330527374618846,2.0482097731711213e-6,anc5,N,NA
10,31,B04_5,r,0.8775746888374889,0.03014546885127072,29.111329903913457,8.288851663175031e-6,cc1690,B,NA
10,31,D06_5,r,1.0311338176164762,0.026099453912625584,39.50786943927843,2.4522467180061167e-6,cc1690,B,NA
10,31,D09_5,r,0.9900472108075347,0.04651243545881663,21.28564546322562,2.8803187959791024e-5,cc1690,B,NA
10,31,F08_5,r,1.001381601225159,0.03566236644536484,28.079505120875453,9.570403589234679e-6,cc1690,B,NA
10,32,C04_4,r,0.6766025574017982,0.050633925000925575,13.362633005231771,1.813593392065234e-4,cc1690,S,NA
10,32,D07_4,r,0.9378943357841416,0.03465345224614994,27.06496106425712,1.1081010623412673e-5,cc1690,S,NA
10,32,D08_4,r,0.7938660429601787,0.04973655047470953,15.961421437215485,9.007103062251463e-5,cc1690,S,NA
10,32,F07_4,r,0.9226269216927235,0.03967502505660684,23.25460211748711,2.0266582500749352e-5,cc1690,S,NA
10,33,C03_4,r,1.0028637739626087,0.03675989800945524,27.281462361638106,1.0734963595411602e-5,cc1690,L,NA
10,33,D05_4,r,0.9797793004724272,0.04212684368587436,23.257837871223167,2.0255375463864886e-5,cc1690,L,NA
10,33,E08_4,r,0.9245233033255185,0.04131182838739238,22.379142715640885,2.3605784259506466e-5,cc1690,L,NA
10,33,G03_4,r,1.1058808564012002,0.05167178833444423,21.40202404537301,2.8186243193005414e-5,cc1690,L,NA
10,35,C04_5,r,0.9075441911734621,0.0336531018220288,26.9676238455796,1.1241126508967788e-5,anc4,BS,NA
10,35,D07_5,r,0.9327455919316628,0.04865013608695933,19.172517632107617,4.36112886835716e-5,anc4,BS,NA
10,35,D08_5,r,1.161078149686492,0.01807383667187862,64.24082339379731,3.5172692168005426e-7,anc4,BS,NA
10,35,F07_5,r,0.9907469285475099,0.05331411997718513,18.583199515840892,4.935503444320382e-5,anc4,BS,NA
10,4,B03_5,r,0.6717895270156635,0.06889244694707021,9.751279810569027,6.195172110499488e-4,anc3,S,NA
10,4,D04_5,r,0.8786549866665082,0.04870432622233081,18.040594230901135,5.550139989206946e-5,anc3,S,NA
10,4,D10_5,r,0.4582753313221343,0.04098694178473594,11.18100817887325,3.6426345156429684e-4,anc3,S,NA
10,4,F03_5,r,0.7294544240729207,0.056493474888043196,12.91218898321493,2.0748302601481138e-4,anc3,S,NA
10,5,B09_6,r,0.1398221239939924,0.12217427525162014,1.144448155767867,0.31626658592477674,anc5,C,NA
10,5,C04_6,r,0.34122835053993933,0.05195408198828597,6.5678833593263315,0.002780634793482886,anc5,C,NA
10,5,D06_6,r,0.21292302944416736,0.05327776470675013,3.9964707719276866,0.01617752313022821,anc5,C,NA
10,5,E10_6,r,0.46031115158883606,0.043178410955554386,10.660678366849963,4.3848661866906767e-4,anc5,C,NA
10,6,C02_4,r,0.7505602412784874,0.04230402765186885,17.742051595064382,5.9291660399133916e-5,cc1690,P,NA
10,6,C09_4,r,0.8284237973889821,0.04147229829233256,19.975352982599038,3.7063968152819836e-5,cc1690,P,NA
10,6,E09_4,r,0.7692095311984946,0.03162191827944338,24.32520141254487,1.6945258356516686e-5,cc1690,P,NA
10,6,F04_4,r,1.0602191216613834,0.021507016783420454,49.296428804514434,1.0132087736613282e-6,cc1690,P,NA
10,7,B08_6,r,0.2766027864618988,0.055024320403604825,5.026918723084813,0.0073494245434856,anc3,B,NA
10,7,C07_6,r,0.6022938005784843,0.12397730101607596,4.8580973746184855,0.008290691926235175,anc3,B,NA
10,7,D10_6,r,0.7839412757435805,0.04177857710669985,18.764192800090918,4.749556742553158e-5,anc3,B,NA
10,7,F03_6,r,0.3629800822146906,0.09959642782733154,3.6445090464889196,0.021877294077285662,anc3,B,NA
10,8,B05_4,r,0.8427713324001338,0.022134181843358216,38.07555835423948,2.8416570287202213e-6,anc4,P,NA
10,8,D03_4,r,0.9597290948683552,0.037498548475809974,25.593766529055628,1.3842269238648782e-5,anc4,P,NA
10,8,E10_4,r,0.8055194425558324,0.009126613894644775,88.26049308698018,9.87902926048014e-8,anc4,P,NA
10,8,F06_4,r,0.8948987075152333,0.044004985617964745,20.33630269270891,3.452189916710991e-5,anc4,P,NA
10,9,C03_5,r,0.7468846464896544,0.04215834601280729,17.716175256561492,5.9635179100836295e-5,cc1690,BS,NA
10,9,D05_5,r,0.8160452255541898,0.026132269993381724,31.22749098187268,6.266710679519304e-6,cc1690,BS,NA
10,9,E08_5,r,0.7345537064852011,0.03814679534150594,19.255974188897692,4.2866788639782486e-5,cc1690,BS,NA
10,9,G03_5,r,0.8113825344496431,0.04713712638799715,17.21323713649738,6.683316832806167e-5,cc1690,BS,NA
10,anc2,B06_5,r,1.0586129363204628,0.00543729648507808,194.69472360495368,4.175016014272433e-9,anc2,none,NA
10,anc2,C10_5,r,0.9819584506366285,0.011014579790611441,89.15078643977193,9.490439773266329e-8,anc2,none,NA
10,anc2,E05_5,r,0.7547126453883191,0.03399151984515161,22.2029685293983,2.435884225097701e-5,anc2,none,NA
10,anc2,F10_5,r,0.8533838954479323,0.038016380196673465,22.44779463570826,2.3320214124994076e-5,anc2,none,NA
10,anc3,B07_6,r,0.8266486106936293,0.04746165412955108,17.417189220527664,6.379029552028843e-5,anc3,none,NA
10,anc3,C06_6,r,0.5742625443925734,0.09894287288230136,5.803980899924889,0.004383685202872059,anc3,none,NA
